Designator,Mid X,Mid Y,Rotation,Layer
C1,-9.07,5.11,-90.0,bottom
C10,-36.27,22.37,180.0,bottom
C11,-13.54,21.58,0.0,bottom
C12,-13.53,19.98,0.0,bottom
C13,-13.53,18.48,0.0,bottom
C14,-13.53,16.98,0.0,bottom
C15,-13.53,15.48,0.0,bottom
C16,36.2727,-26.103938,0.0,top
C17,-36.21,16.25,180.0,bottom
C18,-16.24,5.06,-90.0,bottom
C19,-25.9,5.0,-90.0,bottom
C2,-10.67,5.11,-90.0,bottom
C20,36.2727,-28.613938,0.0,top
C21,-18.77,5.11,-90.0,bottom
C22,-30.3,5.01,-90.0,bottom
C23,-27.963121,5.051903,-90.0,bottom
C24,44.3,35.4,0.0,bottom
C25,49.0,35.7,180.0,bottom
C26,-25.55,-5.3,180.0,bottom
C27,-25.6,27.3,180.0,bottom
C28,13.1,-2.4,-90.0,bottom
C29,25.6,19.425,-90.0,bottom
C3,-36.05,8.9,180.0,bottom
C30,11.0,20.125,90.0,bottom
C31,27.35,-3.6,0.0,bottom
C32,28.95,1.9,0.0,bottom
C33,28.95,-10.7,0.0,bottom
C34,22.5,17.725,90.0,bottom
C35,9.835,21.9,-90.0,bottom
C36,27.35,0.5,0.0,bottom
C37,27.35,-5.8,0.0,bottom
C38,27.35,-8.7,0.0,bottom
C39,25.7,7.925,-90.0,bottom
C4,-22.81,26.51,90.0,bottom
C40,10.9,8.925,90.0,bottom
C41,11.845,17.49,-90.0,bottom
C42,11.8,6.525,-90.0,bottom
C43,22.4,10.525,-90.0,bottom
C44,22.495,21.725,-90.0,bottom
C45,22.5,6.325,90.0,bottom
C46,9.5,10.625,-90.0,bottom
C47,31.395,19.725,90.0,bottom
C48,31.4,8.425,90.0,bottom
C49,35.1,21.725,90.0,bottom
C5,-34.6,26.7,0.0,bottom
C50,34.935,17.42,90.0,bottom
C51,35.0,10.625,90.0,bottom
C52,35.0,6.5,90.0,bottom
C53,44.1,15.325,90.0,bottom
C54,44.1,19.725,90.0,bottom
C55,39.895,15.43,0.0,bottom
C57,44.4,4.9,90.0,bottom
C58,44.4,9.2,90.0,bottom
C6,-34.44,33.49,0.0,bottom
C61,21.9,35.4,90.0,bottom
C62,25.86,36.35,180.0,bottom
C63,30.55,41.9,-90.0,bottom
C64,40.4,34.3,-90.0,bottom
C65,31.2,28.5,0.0,bottom
C67,34.335,29.2,-90.0,bottom
C68,37.005,29.23,-90.0,bottom
C69,53.3,24.8,-90.0,bottom
C7,40.2827,-26.103938,0.0,top
C70,48.5,13.7,90.0,bottom
C71,56.0,13.7,-90.0,bottom
C72,56.7,10.0,90.0,bottom
C73,51.1,20.8,-90.0,bottom
C74,49.1,9.9,90.0,bottom
C75,48.41,20.8,-90.0,bottom
